id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.village,zip_codes,geo.lat,geo.lon
AT,1,ແຂວງ,Province,ແຂວງອັດຕະປື,Attapeu,attapeu-at,AT,,,,,,4,213,,14.728,106.994
AT-01,2,ເມືອງ,District,ມ. ພູວົງ,Phouvong,phouvong-at-01,AT-01,,AT,ແຂວງອັດຕະປື,Attapeu,,,31,,14.611,107.075
AT-02,2,ເມືອງ,District,ມ. ສະໜາມໄຊ,Sanamxay,sanamxay-at-02,AT-02,,AT,ແຂວງອັດຕະປື,Attapeu,,,44,,14.708,106.401
AT-03,2,ເມືອງ,District,ມ. ຊານໄຊ,Sanxay,sanxay-at-03,AT-03,,AT,ແຂວງອັດຕະປື,Attapeu,,,73,,15.049,107.296
AT-04,2,ເມືອງ,District,ມ. ໄຊເສດຖາ,Xaysetha,xaysetha-at-04,AT-04,,AT,ແຂວງອັດຕະປື,Attapeu,,,65,,14.888,107.034
BK,1,ແຂວງ,Province,ແຂວງບໍ່ແກ້ວ,Bokeo,bokeo-bk,BK,,,,,,5,345,,20.234,100.586
BK-01,2,ເມືອງ,District,ມ. ຫ້ວຍຊາຍ,Huoixai,huoixai-bk-01,BK-01,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,113,,20.386,100.641
BK-02,2,ເມືອງ,District,ມ. ເມິງ,Meung,meung-bk-02,BK-02,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,55,,20.69,100.544
BK-03,2,ເມືອງ,District,ມ. ປາກທາ,Paktha,paktha-bk-03,BK-03,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,44,,19.954,100.681
BK-04,2,ເມືອງ,District,ມ. ຜາອຸດົມ,Pha Oudom,pha-oudom-bk-04,BK-04,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,86,,20.131,100.874
BK-05,2,ເມືອງ,District,ມ. ຕົ້ນເຜິ້ງ,Tonpheung,tonpheung-bk-05,BK-05,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,47,,20.476,100.271
BL,1,ແຂວງ,Province,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,bolikhamsai-bl,BL,,,,,,7,487,,18.514,104.384
BL-01,2,ເມືອງ,District,ມ. ບໍລິຄັນ,Bolikhanh,bolikhanh-bl-01,BL-01,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,41,,18.656,103.824
BL-02,2,ເມືອງ,District,ມ. ຄຳເກີດ,Khamkeuth,khamkeuth-bl-02,BL-02,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,138,,18.188,104.952
BL-03,2,ເມືອງ,District,ມ. ປາກກະດິງ,Pakkading,pakkading-bl-03,BL-03,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,55,,18.398,104.112
BL-04,2,ເມືອງ,District,ມ. ປາກຊັນ,Pakxane,pakxane-bl-04,BL-04,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,73,,18.451,103.742
BL-05,2,ເມືອງ,District,ມ. ທ່າພະບາດ,Thaphabath,thaphabath-bl-05,BL-05,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,35,,18.38,103.109
BL-06,2,ເມືອງ,District,ມ. ວຽງທອງ,Viengthong,viengthong-bl-06,BL-06,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,94,,18.817,104.389
BL-07,2,ເມືອງ,District,ມ. ໄຊຈຳພອນ,Xaychamphone,xaychamphone-bl-07,BL-07,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,51,,18.583,104.92
CH,1,ແຂວງ,Province,ແຂວງຈຳປາສັກ,Champasak,champasak-ch,CH,,,,,,11,1068,,14.624,105.863
CH-01,2,ເມືອງ,District,ມ. ບາຈຽງຈະເລີນສຸກ,Bachiangchaleunsook,bachiangchaleunsook-ch-01,CH-01,,CH,ແຂວງຈຳປາສັກ,Champasak,,,82,,15.25,105.973
CH-02,2,ເມືອງ,District,ມ. ຈຳປາສັກ,Champasack,champasack-ch-02,CH-02,,CH,ແຂວງຈຳປາສັກ,Champasak,,,99,,14.924,105.751
CH-03,2,ເມືອງ,District,ມ. ໂຂງ,Khong,khong-ch-03,CH-03,,CH,ແຂວງຈຳປາສັກ,Champasak,,,193,,14.222,106.019
CH-04,2,ເມືອງ,District,ມ. ມູນລະປະໂມກ,Moonlapamok,moonlapamok-ch-04,CH-04,,CH,ແຂວງຈຳປາສັກ,Champasak,,,56,,14.177,105.451
CH-05,2,ເມືອງ,District,ມ. ປາກເຊ,Pakse,pakse-ch-05,CH-05,,CH,ແຂວງຈຳປາສັກ,Champasak,,,30,,15.149,105.849
CH-06,2,ເມືອງ,District,ມ. ປາກຊ່ອງ,Paksxong,paksxong-ch-06,CH-06,,CH,ແຂວງຈຳປາສັກ,Champasak,,,119,,15.052,106.383
CH-07,2,ເມືອງ,District,ມ. ປະທຸມພອນ,Pathoomphone,pathoomphone-ch-07,CH-07,,CH,ແຂວງຈຳປາສັກ,Champasak,,,105,,14.651,106.187
CH-08,2,ເມືອງ,District,ມ. ໂພນທອງ,Phonthong,phonthong-ch-08,CH-08,,CH,ແຂວງຈຳປາສັກ,Champasak,,,201,,15.085,105.67
CH-09,2,ເມືອງ,District,ມ. ສາມັກຄີໄຊ,Samakkhixay,samakkhixay-ch-09,CH-09,,CH,ແຂວງຈຳປາສັກ,Champasak,,,23,,14.963,106.794
CH-10,2,ເມືອງ,District,ມ. ຊະນະສົມບູນ,Sanasomboon,sanasomboon-ch-10,CH-10,,CH,ແຂວງຈຳປາສັກ,Champasak,,,94,,15.39,105.689
CH-11,2,ເມືອງ,District,ມ. ສຸຂຸມາ,Sukhuma,sukhuma-ch-11,CH-11,,CH,ແຂວງຈຳປາສັກ,Champasak,,,66,,14.597,105.623
HO,1,ແຂວງ,Province,ແຂວງຫົວພັນ,Houaphan,houaphan-ho,HO,,,,,,9,1003,,20.274,104.317
HO-01,2,ເມືອງ,District,ມ. ແອດ,Add,add-ho-01,HO-01,,HO,ແຂວງຫົວພັນ,Houaphan,,,85,,20.739,103.803
HO-02,2,ເມືອງ,District,ມ. ຮ້ຽມ,Hiem,hiem-ho-02,HO-02,,HO,ແຂວງຫົວພັນ,Houaphan,,,33,,19.994,103.244
HO-03,2,ເມືອງ,District,ມ. ກວັນ,Kuan,kuan-ho-03,HO-03,,HO,ແຂວງຫົວພັນ,Houaphan,,,102,,19.717,104.43
HO-04,2,ເມືອງ,District,ມ. ສົບເບົາ,Sopbao,sopbao-ho-04,HO-04,,HO,ແຂວງຫົວພັນ,Houaphan,,,115,,20.655,104.423
HO-05,2,ເມືອງ,District,ມ. ວຽງໄຊ,Viengxay,viengxay-ho-05,HO-05,,HO,ແຂວງຫົວພັນ,Houaphan,,,161,,20.328,104.544
HO-06,2,ເມືອງ,District,ມ. ຊຳເໜືອ,Xamneua,xamneua-ho-06,HO-06,,HO,ແຂວງຫົວພັນ,Houaphan,,,220,,20.401,104.067
HO-07,2,ເມືອງ,District,ມ. ຊຳໃຕ້,Xamtay,xamtay-ho-07,HO-07,,HO,ແຂວງຫົວພັນ,Houaphan,,,120,,20.011,104.808
HO-08,2,ເມືອງ,District,ມ. ຊຽງຄໍ້,Xiengkhor,xiengkhor-ho-08,HO-08,,HO,ແຂວງຫົວພັນ,Houaphan,,,104,,20.831,104.199
HO-09,2,ເມືອງ,District,ມ. ຊ່ອນ,Xon,xon-ho-09,HO-09,,HO,ແຂວງຫົວພັນ,Houaphan,,,63,,20.691,103.485
KH,1,ແຂວງ,Province,ແຂວງຄຳມ່ວນ,Khammouane,khammouane-kh,KH,,,,,,9,778,,17.635,105.342
KH-01,2,ເມືອງ,District,ມ. ບົວລະພາ,Bualapha,bualapha-kh-01,KH-01,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,125,,17.213,106.234
KH-02,2,ເມືອງ,District,ມ. ຫີນບູນ,Hinboon,hinboon-kh-02,KH-02,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,117,,17.838,104.427
KH-03,2,ເມືອງ,District,ມ. ຄຼນຄຳ,Khounkham,khounkham-kh-03,KH-03,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,47,,18.108,104.542
KH-04,2,ເມືອງ,District,ມ. ມະຫາໄຊ,Mahaxay,mahaxay-kh-04,KH-04,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,79,,17.359,105.318
KH-05,2,ເມືອງ,District,ມ. ນາກາຍ,Nakay,nakay-kh-05,KH-05,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,77,,18.02,105.229
KH-06,2,ເມືອງ,District,ມ. ຍົມມະລາດ,Nhommalath,nhommalath-kh-06,KH-06,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,90,,17.577,105.307
KH-07,2,ເມືອງ,District,ມ. ທ່າແຂກ,Thakhek,thakhek-kh-07,KH-07,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,122,,17.38,104.881
KH-08,2,ເມືອງ,District,ມ. ໄຊບົວທອງ,Xaybuathong,xaybuathong-kh-08,KH-08,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,68,,17.088,105.527
KH-09,2,ເມືອງ,District,ມ. ເຊບັ້ງໄຟ,Xebangfay,xebangfay-kh-09,KH-09,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,53,,17.1,105.132
LM,1,ແຂວງ,Province,ແຂວງຫຼວງນ້ຳທາ,Luang Namtha,luang-namtha-lm,LM,,,,,,5,465,,21.021,101.298
LM-01,2,ເມືອງ,District,ມ. ລອງ,Long,long-lm-01,LM-01,,LM,ແຂວງຫຼວງນ້ຳທາ,Luang Namtha,,,102,,20.976,100.748
LM-02,2,ເມືອງ,District,ມ. ນາແລ,Nalae,nalae-lm-02,LM-02,,LM,ແຂວງຫຼວງນ້ຳທາ,Luang Namtha,,,115,,20.512,101.371
LM-03,2,ເມືອງ,District,ມ. ນ້ຳທາ,Namtha,namtha-lm-03,LM-03,,LM,ແຂວງຫຼວງນ້ຳທາ,Luang Namtha,,,93,,21.121,101.504
LM-04,2,ເມືອງ,District,ມ. ສິງ,Sing,sing-lm-04,LM-04,,LM,ແຂວງຫຼວງນ້ຳທາ,Luang Namtha,,,106,,21.363,101.175
LM-05,2,ເມືອງ,District,ມ. ວຽງພູຄາ,Viengphoukha,viengphoukha-lm-05,LM-05,,LM,ແຂວງຫຼວງນ້ຳທາ,Luang Namtha,,,49,,20.634,101.061
LP,1,ແຂວງ,Province,ແຂວງຫລວງພະບາງ,Luang Prabang,luang-prabang-lp,LP,,,,,,11,1373,,20.207,102.599
LP-01,2,ເມືອງ,District,ມ. ຈອມເພັດ,Chomphet,chomphet-lp-01,LP-01,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,104,,19.886,101.914
LP-02,2,ເມືອງ,District,ມ. ຫຼວງພະບາງ,Luangprabang,luangprabang-lp-02,LP-02,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,131,,19.815,102.099
LP-03,2,ເມືອງ,District,ມ. ນ້ຳບາກ,Nambak,nambak-lp-03,LP-03,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,166,,20.668,102.383
LP-04,2,ເມືອງ,District,ມ. ນານ,Nan,nan-lp-04,LP-04,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,91,,19.315,101.94
LP-05,2,ເມືອງ,District,ມ. ງອຍ,Ngoi,ngoi-lp-05,LP-05,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,149,,20.732,102.68
LP-06,2,ເມືອງ,District,ມ. ປາກແຊງ,Pak Xeng,pak-xeng-lp-06,LP-06,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,146,,20.108,102.685
LP-07,2,ເມືອງ,District,ມ. ປາກອູ,Park Ou,park-ou-lp-07,LP-07,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,101,,20.143,102.32
LP-08,2,ເມືອງ,District,ມ. ໂພນທອງ,Phonthong,phonthong-lp-08,LP-08,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,0,,20.915,103.126
LP-09,2,ເມືອງ,District,ມ. ໂພນໄຊ,Phonxay,phonxay-lp-09,LP-09,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,172,,19.834,102.787
LP-10,2,ເມືອງ,District,ມ. ວຽງຄຳ,Viengkham,viengkham-lp-10,LP-10,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,148,,20.347,103.07
LP-11,2,ເມືອງ,District,ມ. ຊຽງເງີນ,Xieng Ngeun,xieng-ngeun-lp-11,LP-11,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,165,,19.643,102.356
OU,1,ແຂວງ,Province,ແຂວງອຸດົມໄຊ,Oudomxay,oudomxay-ou,OU,,,,,,7,889,,20.485,101.65
OU-01,2,ເມືອງ,District,ມ. ແບງ,Beng,beng-ou-01,OU-01,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,114,,20.339,101.752
OU-02,2,ເມືອງ,District,ມ. ຮຸນ,Hoon,hoon-ou-02,OU-02,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,144,,20.062,101.419
OU-03,2,ເມືອງ,District,ມ. ຫຼາ,La,la-ou-03,OU-03,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,102,,20.931,102.094
OU-04,2,ເມືອງ,District,ມ. ນາໝໍ້,Namor,namor-ou-04,OU-04,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,120,,20.939,101.708
OU-05,2,ເມືອງ,District,ມ. ງາ,Nga,nga-ou-05,OU-05,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,132,,20.106,101.853
OU-06,2,ເມືອງ,District,ມ. ປາກແບງ,Pakbeng,pakbeng-ou-06,OU-06,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,108,,19.906,101.13
OU-07,2,ເມືອງ,District,ມ. ໄຊ,Xay,xay-ou-07,OU-07,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,169,,20.678,101.969
PH,1,ແຂວງ,Province,ແຂວງຜົ້ງສາລີ,Phongsaly,phongsaly-ph,PH,,,,,,7,794,,21.754,102.373
PH-01,2,ເມືອງ,District,ມ. ບຸນເໜືອ,Boon Neua,boon-neua-ph-01,PH-01,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,60,,21.657,101.793
PH-02,2,ເມືອງ,District,ມ. ບຸນໃຕ້,Boontay,boontay-ph-02,PH-02,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,85,,21.376,101.907
PH-03,2,ເມືອງ,District,ມ. ຂວາ,Khua,khua-ph-03,PH-03,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,178,,21.048,102.473
PH-04,2,ເມືອງ,District,ມ. ໃໝ່,May,may-ph-04,PH-04,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,149,,21.48,102.865
PH-05,2,ເມືອງ,District,ມ. ຍອດອູ,Nhot Ou,nhot-ou-ph-05,PH-05,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,122,,22.235,101.816
PH-06,2,ເມືອງ,District,ມ. ຜົ້ງສາລີ,Phongsaly,phongsaly-ph-06,PH-06,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,112,,21.866,102.201
